state_terr,population,area
 New Jersey,"8,899,339","7,354"
 Rhode Island,"1,051,511","1,034"
 Massachusetts,"6,692,824","7,800"
 Connecticut,"3,596,080","4,842"
 Maryland,"5,928,814","9,707"
 Delaware,"925,749","1,949"
 New York,"19,651,127","47,126"
 Florida,"19,552,860","53,625"
 Pennsylvania,"12,773,801","44,743"
 Ohio,"11,570,808","40,861"
 California,"38,332,521","155,779"
 Illinois,"12,882,135","55,519"
 Hawaii,"1,404,054","6,423"
 Virginia,"8,260,405","39,490"
 North Carolina,"9,848,060","48,618"
 Indiana,"6,570,902","35,826"
 Michigan,"9,895,622","56,539"
 Georgia,"9,992,167","57,513"
 South Carolina,"4,774,839","30,061"
 Tennessee,"6,495,978","41,235"
 New Hampshire,"1,323,459","8,953"
 Kentucky,"4,395,295","39,486"
 Louisiana,"4,625,470","43,204"
 Wisconsin,"5,742,713","54,158"
 Washington,"6,971,406","66,456"
 Texas,"26,448,193","261,232"
 Alabama,"4,833,722","50,645"
 Missouri,"6,044,171","68,742"
 West Virginia,"1,854,304","24,038"
 Minnesota,"5,420,380","79,627"
 Vermont,"626,630","9,217"
 Mississippi,"2,991,207","46,923"
 Arizona,"6,626,624","113,594"
 Arkansas,"2,959,373","52,035"
 Oklahoma,"3,850,568","68,595"
 Iowa,"3,090,416","55,857"
 Colorado,"5,268,367","103,642"
 Maine,"1,328,302","30,843"
 Oregon,"3,930,065","95,988"
 Kansas,"2,893,957","81,759"
 Utah,"2,900,872","82,170"
 Nevada,"2,790,136","109,781"
 Nebraska,"1,868,516","76,824"
 Idaho,"1,612,136","82,643"
 New Mexico,"2,085,287","121,298"
 South Dakota,"844,877","75,811"
 North Dakota,"723,393","69,001"
 Montana,"1,015,165","145,546"
 Wyoming,"582,658","97,093"
 Alaska,"735,132","570,641"
 D.C.,"646,449",61
 Puerto Rico,"3,615,086","3,424"
 U.S. Virgin Is.,"106,405","134"
 Guam,"159,358","210"
 American Samoa,"55,519","76"
 N. Mariana Is.,"53,883","182"
